Rok,Mesiac,Úhrn,Potraviny a nealkoholické nápoje,Alkoholické nápoje a tabak,Odevy a obuv,"Bývanie, voda, elektrina, plyn a ostatné palivá","Nábytok, bytové zariadenie a bežná údržba domácnosti",Zdravie,Doprava,Pošty a spoje,Rekreácia  a kultúra,Vzdelávanie,Reštaurácie a hotely,Rozličné tovary a služby
2022,11,215.70,209.20,252.20,127.90,310.10,110.90,253.50,161.20,161.80,145.90,382.30,264.60,232.40
2022,10,213.70,205.30,248.90,127.90,308.50,109.40,252.20,160.20,161.80,144.80,382.20,261.40,231.00
2022,9,211.10,200.70,246.50,123.40,306.30,108.60,251.70,159.00,161.90,143.90,381.10,259.40,228.10
2022,8,209.20,196.60,246.30,121.70,303.90,107.20,250.00,163.70,161.40,143.60,366.20,254.40,225.70
2022,7,207.60,193.70,244.60,121.80,301.20,106.40,249.10,165.10,160.70,143.20,366.20,252.30,222.90
2022,6,205.90,191.00,244.20,122.70,298.30,105.30,247.90,165.30,160.70,142.20,366.00,250.70,220.70
2022,5,203.50,186.70,242.80,122.40,295.20,104.80,246.60,161.20,160.30,140.70,366.80,248.60,219.30
2022,4,200.30,180.50,241.90,120.60,291.80,104.10,244.10,158.60,158.90,140.20,366.60,244.10,217.20
2022,3,197.50,176.20,240.90,119.70,288.10,102.60,243.10,152.30,159.10,139.60,366.60,242.30,214.60
2022,2,194.10,173.10,234.50,117.50,285.00,101.60,241.10,144.70,152.50,139.20,366.50,239.50,209.90
2022,1,192.50,170.40,234.40,118.50,283.00,100.60,239.20,143.00,152.40,137.40,364.90,236.70,208.90
2021,12,187.30,165.00,230.60,119.90,266.80,99.50,237.60,141.00,152.20,136.40,364.40,233.80,207.00
2021,11,187.00,163.70,231.40,120.00,266.30,99.50,237.20,142.20,152.20,135.60,364.40,233.30,206.90
2021,10,186.00,162.90,231.70,119.80,265.10,98.20,237.80,141.10,152.20,134.70,364.20,231.60,205.60
2021,9,184.90,162.80,231.40,118.50,262.60,97.50,237.30,138.40,152.50,133.70,362.80,230.10,204.50
2021,8,183.40,162.50,231.00,117.50,261.20,97.20,238.30,138.60,152.50,133.70,350.40,212.20,204.60
2021,7,182.70,162.70,231.60,118.30,259.30,96.20,237.90,137.30,152.40,133.20,350.40,211.40,203.00
2021,6,181.80,162.00,231.40,118.60,258.20,95.70,237.40,133.60,152.40,132.40,350.40,210.60,202.60
2021,5,180.80,161.00,231.20,118.20,255.30,95.40,236.70,133.40,152.40,131.60,350.60,208.80,202.30
2021,4,179.30,158.50,230.50,117.60,252.20,95.20,235.50,133.20,152.40,130.70,350.20,207.60,201.20
2021,3,178.90,157.70,230.90,117.50,251.80,95.00,235.90,133.10,152.40,130.50,350.10,207.50,200.90
2021,2,178.00,158.00,216.00,116.70,251.70,95.10,235.80,130.60,152.90,130.60,349.80,207.30,201.00
2021,1,177.60,157.60,214.50,117.00,251.40,94.90,235.60,128.30,153.00,130.60,347.90,207.00,200.70
2020,12,177.00,155.90,213.90,117.60,256.10,94.70,234.70,124.80,143.00,129.20,346.10,206.60,200.40
2020,11,177.10,156.70,214.90,117.90,256.00,94.60,234.60,124.40,143.00,129.20,346.10,206.60,199.80
2020,10,177.00,156.70,214.50,117.80,256.00,94.40,234.90,123.80,143.00,128.40,346.00,206.40,200.40
2020,9,176.80,156.20,214.80,117.40,255.90,94.50,234.60,123.90,143.00,128.20,344.10,205.90,200.30
2020,8,176.70,156.90,212.80,116.70,255.70,94.20,233.40,124.80,143.00,128.70,338.00,205.30,199.70
2020,7,176.90,158.50,212.80,117.00,255.50,94.10,233.30,124.20,143.00,128.60,337.80,204.70,199.40
2020,6,176.70,159.80,213.60,117.50,255.30,94.10,233.80,121.60,143.00,128.20,337.80,203.60,198.80
2020,5,176.90,162.30,214.60,118.10,255.10,93.60,230.90,120.50,143.00,128.80,338.60,202.20,196.70
2020,4,176.50,160.20,212.10,118.00,254.80,94.00,230.90,121.90,143.00,128.60,338.60,202.20,196.20
2020,3,176.50,159.20,213.60,116.50,254.60,93.70,229.90,126.50,143.00,128.00,338.10,201.60,196.60
2020,2,176.50,158.90,214.40,114.80,254.60,93.90,229.10,129.30,143.00,127.90,338.10,201.20,195.90
2020,1,176.30,158.40,212.80,115.70,254.20,93.50,228.10,131.30,143.00,127.90,337.70,200.30,194.00
2019,12,174.30,155.00,211.40,117.50,250.10,93.20,226.30,129.20,143.00,126.60,336.20,198.90,192.50
2019,11,174.50,155.20,212.70,117.60,250.10,93.40,226.20,130.30,143.00,126.60,336.20,198.50,192.50
2019,10,174.30,155.20,212.60,117.40,249.70,93.10,226.30,129.80,143.00,126.00,336.20,198.10,192.50
2019,9,174.40,155.90,212.40,117.00,249.50,92.70,226.10,132.40,143.00,125.70,336.00,197.20,191.60
2019,8,174.20,155.30,212.30,116.00,248.80,92.70,225.60,131.40,143.00,127.10,323.40,200.70,190.90
2019,7,173.80,155.20,211.70,116.80,248.50,92.60,225.30,129.30,143.00,127.30,323.10,200.20,190.40
2019,6,173.60,155.70,211.70,117.70,248.70,92.50,227.90,128.50,140.20,125.90,323.10,199.90,190.10
2019,5,173.50,154.80,211.30,117.60,248.60,92.30,227.60,130.40,140.20,125.40,322.40,200.10,189.50
2019,4,172.90,153.60,209.80,116.70,248.50,92.20,228.00,129.60,140.10,125.50,322.40,198.60,189.00
2019,3,172.50,153.50,213.10,115.30,248.30,91.80,226.70,128.90,140.10,124.30,321.90,198.10,188.70
