univerzita;rok;abs 1.-2.stupeň denní;abs 1.-2.stupeň externí;abs 3.stupeň denní;abs 3.stupeň externí;abs 3.stupeň externých vzdelávacích inštitúcií
AU;2009;189;0;6;1;0
AU;2010;199;0;7;1;0
AU;2011;200;0;8;3;0
AU;2012;196;0;12;4;0
AU;2013;173;0;7;8;0
AU;2014;176;0;12;11;0
AU;2015;164;0;9;8;0
AU;2016;168;0;6;9;3
AU;2017;162;0;6;6;0
AU;2018;167;0;6;9;0
AU;2019;169;0;9;5;0
AU;2020;180;0;8;7;0
AU;2021;156;0;9;9;0
EU;2009;4148;1139;69;59;0
EU;2010;3556;919;62;138;12
EU;2011;4041;807;50;55;0
EU;2012;3513;715;70;44;1
EU;2013;3107;651;74;31;1
EU;2014;2878;542;50;27;1
EU;2015;2612;540;43;26;0
EU;2016;2460;377;50;23;1
EU;2017;2359;383;37;19;1
EU;2018;2295;120;30;22;1
EU;2019;2072;136;23;15;2
EU;2020;2057;126;26;13;0
EU;2021;2097;113;27;8;0
KU;2009;2022;2275;12;41;0
KU;2010;2434;984;14;20;0
KU;2011;1154;919;16;25;0
KU;2012;948;1379;37;37;0
KU;2013;1311;1083;41;29;0
KU;2014;1350;860;33;36;0
KU;2015;1216;620;33;30;0
KU;2016;1206;641;20;33;0
KU;2017;990;399;29;32;0
KU;2018;819;277;19;19;0
KU;2019;765;153;19;21;0
KU;2020;767;252;13;11;0
KU;2021;730;223;9;10;0
PU;2009;2453;1613;32;33;2
PU;2010;2577;1706;18;56;5
PU;2011;2371;1331;26;35;0
PU;2012;2199;981;36;38;0
PU;2013;2070;887;57;33;0
PU;2014;2136;696;46;47;0
PU;2015;2316;674;51;34;0
PU;2016;2208;529;32;22;0
PU;2017;2268;550;29;35;0
PU;2018;2156;396;30;24;0
PU;2019;2051;246;27;39;0
PU;2020;2070;306;36;20;0
PU;2021;1968;350;28;28;0
SPU;2009;2261;1222;79;51;2
SPU;2010;2378;982;65;65;8
SPU;2011;2351;929;71;29;0
SPU;2012;2203;848;73;38;2
SPU;2013;2384;791;69;22;3
SPU;2014;2142;679;60;34;2
SPU;2015;2272;601;63;26;2
SPU;2016;2158;568;49;17;10
SPU;2017;2058;420;33;21;1
SPU;2018;2041;221;23;22;1
SPU;2019;1791;167;37;22;1
SPU;2020;1693;261;38;19;1
SPU;2021;1509;163;25;16;0
STU;2009;4569;726;119;53;17
STU;2010;4953;259;148;153;17
STU;2011;4379;83;153;48;11
STU;2012;4576;104;191;38;18
STU;2013;4094;45;225;44;29
STU;2014;3942;23;174;73;13
STU;2015;3992;6;155;63;24
STU;2016;3760;0;137;47;20
STU;2017;3568;0;121;38;15
STU;2018;3300;0;107;27;9
STU;2019;2932;0;89;37;9
STU;2020;2762;0;81;24;9
STU;2021;2790;0;83;24;13
TUAD;2009;1396;1185;12;10;0
TUAD;2010;1328;1352;4;9;0
TUAD;2011;1197;1294;5;4;0
TUAD;2012;982;608;21;5;0
TUAD;2013;805;508;25;4;0
TUAD;2014;902;462;14;0;0
TUAD;2015;579;316;22;1;0
TUAD;2016;700;292;12;1;0
TUAD;2017;584;233;1;4;0
TUAD;2018;497;132;3;1;0
TUAD;2019;450;107;5;1;0
TUAD;2020;481;107;10;1;0
TUAD;2021;496;87;5;3;0
TUKE;2009;3615;1102;81;65;5
TUKE;2010;3689;1103;117;115;3
TUKE;2011;4048;1027;97;52;11
TUKE;2012;3917;981;135;59;0
TUKE;2013;3728;766;111;67;5
TUKE;2014;3565;699;106;67;3
TUKE;2015;2960;494;96;38;6
TUKE;2016;2890;406;86;39;6
TUKE;2017;2431;237;67;52;6
TUKE;2018;2367;97;77;20;7
TUKE;2019;2357;90;63;33;6
TUKE;2020;2300;118;71;44;5
TUKE;2021;2487;70;78;41;0
TUZVO;2009;1009;319;31;27;1
TUZVO;2010;911;370;57;50;4
TUZVO;2011;927;423;31;24;6
TUZVO;2012;932;465;51;14;2
TUZVO;2013;958;364;37;18;4
TUZVO;2014;922;343;40;20;2
TUZVO;2015;930;254;32;9;2
TUZVO;2016;875;278;13;12;2
TUZVO;2017;738;216;24;1;5
TUZVO;2018;740;116;23;7;2
TUZVO;2019;566;120;22;3;1
TUZVO;2020;531;129;22;2;1
TUZVO;2021;451;118;21;3;0
TVU;2009;1459;781;23;45;0
TVU;2010;1599;754;48;90;0
TVU;2011;1561;874;36;31;0
TVU;2012;1504;803;60;43;0
TVU;2013;1343;754;43;45;0
TVU;2014;1431;557;34;33;0
TVU;2015;1229;497;29;35;3
TVU;2016;1149;440;24;24;0
