univerzita;rok;počet full-time zamestnancov;počet part-time zamestnancov
AU;2009;90;26
AU;2010;95;21
AU;2011;105;21
AU;2012;105;20
AU;2013;106;29
AU;2014;107;32
AU;2015;106;29
AU;2016;110;20
AU;2017;115;16
AU;2018;113;14
AU;2019;122;14
AU;2020;124;14
AU;2021;126;18
AU;2022;134;13
EU;2009;565;140
EU;2010;620;38
EU;2011;584;72
EU;2012;594;61
EU;2013;552;75
EU;2014;562;44
EU;2015;525;45
EU;2016;508;21
EU;2017;493;16
EU;2018;470;19
EU;2019;456;15
EU;2020;438;10
EU;2021;422;6
EU;2022;415;9
KU;2009;371;72
KU;2010;340;85
KU;2011;370;83
KU;2012;347;81
KU;2013;353;64
KU;2014;370;87
KU;2015;359;65
KU;2016;330;61
KU;2017;308;59
KU;2018;295;57
KU;2019;282;50
KU;2020;282;51
KU;2021;258;54
KU;2022;252;52
PU;2009;521;267
PU;2010;521;170
PU;2011;533;158
PU;2012;523;104
PU;2013;495;102
PU;2014;516;83
PU;2015;511;68
PU;2016;516;64
PU;2017;512;73
PU;2018;522;73
PU;2019;540;73
PU;2020;525;63
PU;2021;502;56
PU;2022;491;51
SPU;2009;462;27
SPU;2010;449;25
SPU;2011;447;23
SPU;2012;434;22
SPU;2013;436;27
SPU;2014;436;31
SPU;2015;444;23
SPU;2016;443;23
SPU;2017;432;26
SPU;2018;428;28
SPU;2019;420;26
SPU;2020;421;21
SPU;2021;399;19
SPU;2022;383;20
STU;2009;1072;186
STU;2010;1051;197
STU;2011;1051;158
STU;2012;1032;166
STU;2013;1081;127
STU;2014;1032;132
STU;2015;1018;118
STU;2016;972;114
STU;2017;938;112
STU;2018;935;100
STU;2019;903;109
STU;2020;885;115
STU;2021;852;130
STU;2022;814;105
TUAD;2009;242;25
TUAD;2010;193;32
TUAD;2011;170;26
TUAD;2012;169;30
TUAD;2013;154;32
TUAD;2014;146;28
TUAD;2015;131;34
TUAD;2016;127;29
TUAD;2017;108;29
TUAD;2018;101;35
TUAD;2019;99;38
TUAD;2020;88;49
TUAD;2021;90;49
TUAD;2022;99;46
TUKE;2009;855;60
TUKE;2010;827;56
TUKE;2011;804;50
TUKE;2012;781;55
TUKE;2013;785;54
TUKE;2014;773;61
TUKE;2015;773;50
TUKE;2016;747;44
TUKE;2017;743;46
TUKE;2018;750;47
TUKE;2019;732;46
TUKE;2020;728;52
TUKE;2021;676;39
TUKE;2022;656;42
TUZVO;2009;278;18
TUZVO;2010;266;12
TUZVO;2011;255;14
TUZVO;2012;261;13
TUZVO;2013;258;8
TUZVO;2014;249;12
TUZVO;2015;230;18
TUZVO;2016;240;24
TUZVO;2017;228;16
TUZVO;2018;220;21
TUZVO;2019;216;20
TUZVO;2020;213;17
TUZVO;2021;204;16
TUZVO;2022;200;16
TVU;2009;287;80
TVU;2010;310;71
TVU;2011;298;68
TVU;2012;296;57
TVU;2013;281;66
TVU;2014;289;61
TVU;2015;280;45
TVU;2016;273;48
TVU;2017;274;54
TVU;2018;267;49
TVU;2019;250;46
TVU;2020;251;52
TVU;2021;262;51
TVU;2022;264;56
UCM;2009;227;88
UCM;2010;287;39
UCM;2011;259;40
UCM;2012;303;43
UCM;2013;320;34
