univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd,publikacie 07711,publikacie 07712
UK,77188587,22358025,7729715,8006375,NA,1559,NA,27 422,21919,12 369,10861,9675,800 848,2071006511,2603523973
UPJŠ,22757216,6656435,1766983,2466042,NA,314,NA,8 699,7408,3 605,1806,1657,126 960,6193284877,9048936692
PU,18316144,5397622,1216551,3960319,NA,205,NA,10 571,7048,5 049,1921,1928,154 240,5585440686,4102463764
UCM,7613364,2881112,462610,945202,NA,77,NA,5 947,4650,2 806,224,209,13 952,1718813843,140006506
UVL,9159398,2974668,587893,647983,NA,117,NA,1 873,1689,270,908,751,26 048,2104777914,2374904879
UKF,19265704,6462251,1484369,2405707,NA,242,NA,12 354,8268,5 559,1552,1433,124 080,6568321108,5329845478
UMB,18590413,6109460,1265427,2751876,NA,252,NA,12 349,7816,5 942,2434,2225,164 480,6791872168,5306779875
TVU,10243014,3368177,996745,950 338,NA,188,NA,7 516,4574,3 046,,,0,3347500217,2344218088
STU,56943985,17138021,6263282,4696983,NA,1190,NA,18 189,17118,9 343,6724,6552,533 360,1345585287,1773156863
TUKE,38957862,11880335,3100463,6536820,NA,554,NA,16 319,12919,7 481,4984,5786,414 400,6646405482,588805886
ŽU,27056909,8217291,2329877,3796173,NA,392,NA,11 715,9217,5 519,5044,4390,354 448,4423408603,3152518231
TUAD,7677563,2740431,499722,779454,NA,85,NA,5 743,3259,2 927,320,158,10 048,1904237002,190444848
EU,20861429,7068976,1490373,3088214,NA,257,NA,12 759,10065,7 727,3530,3152,240 288,6079434099,4143506178
SPU,19237006,6282008,1586472,2352864,NA,258,NA,9 964,7079,4 726,3028,2484,164 768,454471156,3657568768
TUZVO,11148942,3521695,867809,1407840,NA,153,NA,5 235,3506,2 002,1524,1460,88 048,3314396725,2486366902
VŠVU,5599140,2001169,387340,201493,NA,61,NA,1 052,997,613,,,0,297907331,224502459
VŠMU,4160394,1319084,277566,145736,NA,57,NA,687,660,386,,,0,387686295,109265027
AU,3210870,1147907,191927,328497,NA,30,NA,629,590,362,136,100,6 400,368174309,219402946
KU,11854293,3 753 909,935589,1685056,NA,166,NA,7 353,3991,4 482,631,469,28 992,486383266,395089986
UJS,2708416,916859,59503,591 838,NA,9,NA,2 403,1561,867,513,467,37 440,693877137,589440097
