univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;pub-podiel-07711;pub-podiel-07712;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd
UK;124042245;44146664;NA;8692154;NA;1001;NA;22861;16790;25,99922201;28,06669692;5401;10672;9447;712912
UPJŠ;38537742;14789402;NA;1887239;NA;346;NA;7350;5110;9,991470638;11,53107019;1402;1761;1691;130512
PU;23778311;9498223;NA;2251708;NA;98;NA;8534;6346;5,069454132;3,935493046;2729;1925;1893;82416
UCM;11469056;4933360;NA;534689;NA;118;NA;5626;3765;2,656661123;2,315735453;1280;237;204;13056
UVL;12467360;5623591;NA;576506;NA;88;NA;1964;1447;1,602038212;1,612693831;262;833;626;40064
UKF;20409136;8230815;NA;1729302;NA;135;NA;6998;5038;4,519958932;4,056496769;2430;1469;1557;124560
UMB;18437579;7465443;NA;2055543;NA;64;NA;6976;5196;4,157557159;3,046240891;2157;2588;2143;168960
TVU;12710050;5277801;NA;584298;NA;49;NA;5097;3357;2,954451343;2,155463251;1424;316;284;9088
STU;66757793;22562759;NA;5702919;NA;508;NA;10685;9123;10,79373363;12,15214157;2800;6643;6453;514768
TUKE;50203392;17070875;NA;4309584;NA;287;NA;9363;8148;10,55317124;10,97959263;2285;4986;4181;334480
ŽU;36249673;12996917;NA;3155633;NA;241;NA;7831;6623;5,780330069;5,752234184;2116;4722;3256;207584
TUAD;10511650;3627620;NA;332042;NA;34;NA;2603;1892;1,774076879;1,863827963;523;96;86;6880
EU;19910885;8261456;NA;2215861;NA;110;NA;7405;6406;2,762610197;1,85710016;2177;2966;2654;193392
SPU;22584071;8036290;NA;1847061;NA;107;NA;5328;4191;4,596955525;4,464649159;1945;2423;2005;148880
TUZVO;12182105;3993166;NA;781417;NA;73;NA;2171;1458;3,52720329;4,046723272;664;1278;862;47648
VŠMU;9142448;3898279;NA;130386;NA;49;NA;1058;895;0,130061716;0,058550178;284;0;0;0
VŠVU;6178147;2622062;NA;54033;NA;30;NA;646;572;0,143083984;0,02400724;159;0;0;0
AU;4973187;2167269;NA;132002;NA;26;NA;574;511;0,135564724;0,04993566;187;136;109;8272
KU;8880528;3619585;NA;636982;NA;47;NA;3592;2351;1,691090535;1,01283099;1054;627;479;18544
UJS;4798084;1869971;NA;481368;NA;25;NA;1894;1295;1,161304664;1,01851664;420;767;504;37264
