uni,year,asistent,docent,hostujuci_profesor,lektor,odborny_asistent,profesor,salary_budget,ucitelia_spolu
AU,2009,11.5,14.5,0,0.0,44.0,33.0,1448749,103.0
AU,2010,5.0,18.0,0,0.0,48.5,34.0,1479444,105.5
AU,2011,7.0,18.5,0,0.0,55.5,34.5,1147907,115.5
AU,2012,5.5,22.0,0,0.0,52.5,35.0,1187816,115.0
AU,2013,7.0,24.0,0,0.0,54.0,35.5,1223047,120.5
AU,2014,5.5,26.5,0,0.0,56.0,35.0,1368141,123.0
AU,2015,3.5,24.5,0,0.0,59.5,33.0,1351373,120.5
AU,2016,2.0,24.5,0,0.0,61.5,32.0,1487361,120.0
AU,2017,1.5,27.5,0,0.0,63.5,30.5,1585960,123.0
AU,2018,3.0,27.5,0,0.0,60.0,29.5,1848007,120.0
AU,2019,5.0,30.5,0,0.0,65.0,28.5,1939438,129.0
AU,2020,5.0,33.5,0,0.0,67.5,25.0,1939438,131.0
AU,2021,4.5,40.0,0,7.0,64.5,19.0,2386136,135.0
AU,2022,4.5,45.0,0,6.5,61.5,23.0,2167269,140.5
EU,2009,13.0,104.0,0,3.0,444.5,70.5,8595550,635.0
EU,2010,6.5,108.5,0,3.0,445.0,72.5,9634391,635.5
EU,2011,4.0,100.0,0,2.0,441.5,70.0,7068976,617.5
EU,2012,4.0,103.0,0,2.5,442.5,72.0,7489611,624.0
EU,2013,2.0,91.5,0,3.0,415.5,75.5,7175864,587.5
EU,2014,2.0,105.5,0,4.0,402.0,68.5,7203899,582.0
EU,2015,3.0,101.0,0,6.0,378.0,58.5,6773204,546.5
EU,2016,2.0,101.5,0,9.0,345.5,59.0,6816132,517.0
EU,2017,3.0,100.0,0,8.0,330.5,58.0,6667616,499.5
EU,2018,4.0,101.5,0,10.0,312.0,52.0,7301362,479.5
EU,2019,2.0,101.5,0,12.0,303.0,43.0,7151743,461.5
EU,2020,1.0,104.0,0,13.0,286.0,37.0,7151743,441.0
EU,2021,1.0,122.0,0,10.0,250.0,40.0,8272310,423.0
EU,2022,1.0,125.0,0,8.0,248.0,35.5,8261456,417.5
KU,2009,33.0,82.5,0,2.0,224.0,65.5,5324619,407.0
KU,2010,33.5,82.5,0,2.0,202.0,62.5,5535813,382.5
KU,2011,32.5,89.5,0,2.0,223.5,64.0,3753909,411.5
KU,2012,27.0,91.5,0,1.5,207.5,60.0,4097915,387.5
KU,2013,31.0,90.0,0,1.0,202.5,60.5,3722800,385.0
KU,2014,28.0,101.0,0,12.5,201.0,71.0,4088371,413.5
KU,2015,28.0,94.5,0,11.5,191.0,66.5,3810392,391.5
KU,2016,21.5,94.5,0,11.0,177.5,56.0,4310846,360.5
KU,2017,22.5,95.0,0,2.0,167.0,51.0,3882266,337.5
KU,2018,21.5,90.0,0,1.0,161.0,50.0,3905252,323.5
KU,2019,18.5,85.5,0,2.0,155.5,45.5,3606449,307.0
KU,2020,19.0,85.5,0,1.0,160.0,42.0,3606449,307.5
KU,2021,20.0,83.5,0,1.0,145.0,35.5,4175809,285.0
KU,2022,21.0,119.5,0,1.0,93.0,43.5,3619585,278.0
PU,2009,29.5,95.5,0,20.0,460.5,49.0,7287384,654.5
PU,2010,30.5,102.0,0,17.5,414.0,42.0,7019168,606.0
PU,2011,28.5,117.0,0,20.5,396.5,49.5,5397622,612.0
PU,2012,37.0,121.5,0,15.5,348.0,53.0,5839476,575.0
PU,2013,28.0,128.5,0,22.0,312.5,55.0,5924397,546.0
PU,2014,22.0,142.0,0,30.0,312.0,51.5,6557780,557.5
PU,2015,17.5,137.5,0,28.0,308.5,53.5,6505160,545.0
PU,2016,13.0,134.0,0,20.5,321.0,58.5,7022726,547.0
PU,2017,16.5,133.0,0,25.5,317.0,56.0,7513376,548.0
