univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;publikacie;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd
UK;77024564;34788075;6419171;8631773;4631;1190;274;28439;21819;7690;7225;10969;9721;794240
UJPŠ;21034251;9489758;1032939;2462852;1307;222;53;8137;7035;2268;1460;1776;1775;128336
PU;17921955;7287384;652690;3728125;1073;115;40;12399;7415;1865;3719;1913;2007;161600
UCM;6960463;3211301;185010;964838;377;30;0;7129;4742;563;1655;224;222;14784
UVL;9082561;4322490;444936;601068;493;77;18;1454;1294;954;169;830;778;41584
UKF;18362210;8352833;863062;2585424;989;145;81;13213;8041;1936;4490;1599;1530;128800
UMB;18785626;8415807;987407;2854500;1187;152;62;15235;8952;1865;5095;2443;2210;163840
TVU;10187719;4648317;679149;994407;514;138;54;7516;4761;1225;2940;NA;NA;NA
STU;54494350;25671598;3774703;5691770;3009;705;137;18654;16641;5660;4236;6557;6412;527072
TU;38076381;16650799;2474216;6083678;1884;426;58;17043;12693;3349;3924;4984;5739;383680
ŽU;25033613;11110616;1614174;3831687;1437;266;85;12797;9360;2721;3340;5007;4388;355120
TUAD;8587563;3840504;330222;919286;433;58;10;7842;4088;904;1577;318;229;13408
EU;19602168;8595550;861775;3218519;1244;231;64;14385;10880;2873;4115;3707;3487;262912
SPU;19423615;8639319;1339640;2559027;1224;226;62;10304;6965;2389;3174;3028;2726;202896
TU;10768636;4864323;601874;1477447;842;136;43;4777;3223;1321;1091;1524;1479;88800
VŠMU;5462927;2934061;389410;193213;326;66;60;1052;986;59;289;NA;NA;NA
VŠVU;3640641;1881796;237962;143482;199;50;4;690;668;97;195;NA;NA;NA
AU;2863376;1448749;151303;278188;152;24;0;593;577;67;199;201;149;9920
KU;13042079;5324619;257219;2519886;677;55;23;10206;6179;1101;1723;727;579;38256
UJS;2576910;1069734;59746;535692;147;9;2;2689;1420;126;226;513;470;37600
