;univerzita;rok;abs 1.-2.stupeň denní;abs 1.-2.stupeň externí;abs 3.stupeň denní;abs 3.stupeň externí;abs 3.stupeň externých vzdelávacích inštitúcií
0;AU;2009;189;0;6;1;0
1;AU;2010;199;0;7;1;0
2;AU;2011;200;0;8;3;0
3;AU;2012;196;0;12;4;0
4;AU;2013;173;0;7;8;0
5;AU;2014;176;0;12;11;0
6;AU;2015;164;0;9;8;0
7;AU;2016;168;0;6;9;3
8;AU;2017;162;0;6;6;0
9;AU;2018;167;0;6;9;0
10;AU;2019;169;0;9;5;0
11;AU;2020;180;0;8;7;0
12;AU;2021;156;0;9;9;0
13;EU;2009;4148;1139;69;59;0
14;EU;2010;3556;919;62;138;12
15;EU;2011;4041;807;50;55;0
16;EU;2012;3513;715;70;44;1
17;EU;2013;3107;651;74;31;1
18;EU;2014;2878;542;50;27;1
19;EU;2015;2612;540;43;26;0
20;EU;2016;2460;377;50;23;1
21;EU;2017;2359;383;37;19;1
22;EU;2018;2295;120;30;22;1
23;EU;2019;2072;136;23;15;2
24;EU;2020;2057;126;26;13;0
25;EU;2021;2097;113;27;8;0
26;KU;2009;2022;2275;12;41;0
27;KU;2010;2434;984;14;20;0
28;KU;2011;1154;919;16;25;0
29;KU;2012;948;1379;37;37;0
30;KU;2013;1311;1083;41;29;0
31;KU;2014;1350;860;33;36;0
32;KU;2015;1216;620;33;30;0
33;KU;2016;1206;641;20;33;0
34;KU;2017;990;399;29;32;0
35;KU;2018;819;277;19;19;0
36;KU;2019;765;153;19;21;0
37;KU;2020;767;252;13;11;0
38;KU;2021;730;223;9;10;0
39;PU;2009;2453;1613;32;33;2
40;PU;2010;2577;1706;18;56;5
41;PU;2011;2371;1331;26;35;0
42;PU;2012;2199;981;36;38;0
43;PU;2013;2070;887;57;33;0
44;PU;2014;2136;696;46;47;0
45;PU;2015;2316;674;51;34;0
46;PU;2016;2208;529;32;22;0
47;PU;2017;2268;550;29;35;0
48;PU;2018;2156;396;30;24;0
49;PU;2019;2051;246;27;39;0
50;PU;2020;2070;306;36;20;0
51;PU;2021;1968;350;28;28;0
