univerzita;fakulta;typ;rok;spolu full-time;spolu part-time;ženy full-time;ženy part-time
UNIVERZITA KOMENSKÉHO;Rímskokat.bohosl.fak.UK;verejná;2009;22;46;3;6
UNIVERZITA KOMENSKÉHO;Evanj. bohosl. fak. UK;verejná;2009;15;4;4;1
UNIVERZITA KOMENSKÉHO;UK - rektorát;verejná;2009;18;1;16;1
UNIVERZITA KOMENSKÉHO;Fa matem.fyz. a inf. UK;verejná;2009;189;17;46;2
UNIVERZITA KOMENSKÉHO;Prírodovedecká fak. UK;verejná;2009;251;34;97;10
UNIVERZITA KOMENSKÉHO;Fakulta managementu UK;verejná;2009;49;43;27;17
UNIVERZITA KOMENSKÉHO;Lekárska fakulta UK;verejná;2009;406;116;191;47
UNIVERZITA KOMENSKÉHO;Jesseniova lek. fak. UK;verejná;2009;163;14;82;6
UNIVERZITA KOMENSKÉHO;Farmaceutická fak. UK;verejná;2009;112;8;67;5
UNIVERZITA KOMENSKÉHO;Právnická fakulta UK;verejná;2009;77;25;33;13
UNIVERZITA KOMENSKÉHO;Filozofická fakulta UK;verejná;2009;256;15;141;8
UNIVERZITA KOMENSKÉHO;Fa soc.a ekonom.vied UK;verejná;2009;27;2;15;0
UNIVERZITA KOMENSKÉHO;Pedagogická fakulta UK;verejná;2009;167;44;110;27
UNIVERZITA KOMENSKÉHO;Fakulta TV a športu UK;verejná;2009;56;8;20;4
UNIVERZITA P.J.ŠAFÁRIKA;UPJŠ - rektorát;verejná;2009;16;0;7;0
UNIVERZITA P.J.ŠAFÁRIKA;Prírodovedecká fak.UPJŠ;verejná;2009;133;17;47;5
UNIVERZITA P.J.ŠAFÁRIKA;Fa verejnej správy UPJŠ;verejná;2009;31;0;20;0
UNIVERZITA P.J.ŠAFÁRIKA;Lekárska fakulta  UPJŠ;verejná;2009;247;32;130;11
UNIVERZITA P.J.ŠAFÁRIKA;Právnická fakulta UPJŠ;verejná;2009;46;6;16;2
UNIVERZITA P.J.ŠAFÁRIKA;Filozofická fak. UPJŠ;verejná;2009;90;15;56;8
PREŠOVSKÁ UNIVERZITA;Gréckokat.teol. fak. PU;verejná;2009;23;7;5;4
PREŠOVSKÁ UNIVERZITA;Pravosláv. boh. fak. PU;verejná;2009;19;15;1;3
PREŠOVSKÁ UNIVERZITA;PU - rektorát;verejná;2009;24;10;19;8
PREŠOVSKÁ UNIVERZITA;Fakulta manažmentu PU;verejná;2009;65;66;34;35
PREŠOVSKÁ UNIVERZITA;Fa zdravotníctva PU;verejná;2009;54;66;43;41
PREŠOVSKÁ UNIVERZITA;Filozofická fakulta  PU;verejná;2009;152;57;84;33
PREŠOVSKÁ UNIVERZITA;Fa hum. a prír.vied PU;verejná;2009;108;32;54;13
PREŠOVSKÁ UNIVERZITA;Pedagogická fakulta PU;verejná;2009;52;9;37;7
PREŠOVSKÁ UNIVERZITA;Fakulta športu PU;verejná;2009;24;5;12;1
UNIV.sv.CYRILA a METODA;UCaM - rektorát;verejná;2009;13;21;6;6
UNIV.sv.CYRILA a METODA;Fa prírodných vied UCM;verejná;2009;47;16;15;3
UNIV.sv.CYRILA a METODA;Filozofická fakulta UCM;verejná;2009;111;27;44;13
UNIV.sv.CYRILA a METODA;Fa masmed. komunik. UCM;verejná;2009;56;24;25;11
KATOLÍCKA UNIVERZITA;Teologická fakulta KU;verejná;2009;85;10;11;2
KATOLÍCKA UNIVERZITA;Fa zdravotníctva KU;verejná;2009;29;29;14;9
KATOLÍCKA UNIVERZITA;Filozofická fakulta KU;verejná;2009;59;10;18;8
