;univerzita;rok;typ učiteľa;úväzok;DrSc.;CSc., PhD.;iný/žiadny titul;spolu
0;AU;2009;asistent;full-time;0;0;10;10
1;AU;2009;asistent;part-time;0;0;3;3
2;AU;2009;docent;full-time;0;4;9;13
3;AU;2009;docent;part-time;0;1;2;3
4;AU;2009;hosťujúci profesor;full-time;0;0;0;0
5;AU;2009;hosťujúci profesor;part-time;0;0;0;0
6;AU;2009;lektor;full-time;0;0;0;0
7;AU;2009;lektor;part-time;0;0;0;0
8;AU;2009;odborný asistent;full-time;0;13;23;36
9;AU;2009;odborný asistent;part-time;0;5;11;16
10;AU;2009;profesor;full-time;1;8;22;31
11;AU;2009;profesor;part-time;0;3;1;4
12;AU;2010;asistent;full-time;0;0;5;5
13;AU;2010;asistent;part-time;0;0;0;0
14;AU;2010;docent;full-time;0;5;11;16
15;AU;2010;docent;part-time;0;2;2;4
16;AU;2010;hosťujúci profesor;full-time;0;0;0;0
17;AU;2010;hosťujúci profesor;part-time;0;0;0;0
18;AU;2010;lektor;full-time;0;0;0;0
19;AU;2010;lektor;part-time;0;0;0;0
20;AU;2010;odborný asistent;full-time;0;19;22;41
21;AU;2010;odborný asistent;part-time;0;7;8;15
22;AU;2010;profesor;full-time;2;7;24;33
23;AU;2010;profesor;part-time;0;2;0;2
24;AU;2011;asistent;full-time;0;0;6;6
25;AU;2011;asistent;part-time;0;0;2;2
26;AU;2011;docent;full-time;0;6;11;17
27;AU;2011;docent;part-time;0;1;2;3
28;AU;2011;hosťujúci profesor;full-time;0;0;0;0
29;AU;2011;hosťujúci profesor;part-time;0;0;0;0
30;AU;2011;lektor;full-time;0;0;0;0
31;AU;2011;lektor;part-time;0;0;0;0
32;AU;2011;odborný asistent;full-time;0;24;25;49
33;AU;2011;odborný asistent;part-time;0;8;5;13
34;AU;2011;profesor;full-time;2;7;24;33
35;AU;2011;profesor;part-time;0;3;0;3
36;AU;2012;asistent;full-time;0;0;5;5
37;AU;2012;asistent;part-time;0;0;1;1
38;AU;2012;docent;full-time;0;8;12;20
39;AU;2012;docent;part-time;0;2;2;4
40;AU;2012;hosťujúci profesor;full-time;0;0;0;0
41;AU;2012;hosťujúci profesor;part-time;0;0;0;0
42;AU;2012;lektor;full-time;0;0;0;0
43;AU;2012;lektor;part-time;0;0;0;0
44;AU;2012;odborný asistent;full-time;0;29;19;48
45;AU;2012;odborný asistent;part-time;0;7;2;9
46;AU;2012;profesor;full-time;2;10;20;32
47;AU;2012;profesor;part-time;0;4;2;6
48;AU;2013;asistent;full-time;0;0;5;5
49;AU;2013;asistent;part-time;0;0;4;4
50;AU;2013;docent;full-time;0;12;10;22
51;AU;2013;docent;part-time;0;2;2;4
52;AU;2013;hosťujúci profesor;full-time;0;0;0;0
53;AU;2013;hosťujúci profesor;part-time;0;0;0;0
54;AU;2013;lektor;full-time;0;0;0;0
55;AU;2013;lektor;part-time;0;0;0;0
56;AU;2013;odborný asistent;full-time;0;31;15;46
57;AU;2013;odborný asistent;part-time;0;13;3;16
58;AU;2013;profesor;full-time;1;9;23;33
59;AU;2013;profesor;part-time;1;3;1;5
60;AU;2014;asistent;full-time;0;0;2;2
61;AU;2014;asistent;part-time;0;0;7;7
62;AU;2014;docent;full-time;0;14;11;25
63;AU;2014;docent;part-time;0;2;1;3
64;AU;2014;hosťujúci profesor;full-time;0;0;0;0
65;AU;2014;hosťujúci profesor;part-time;0;0;0;0
66;AU;2014;lektor;full-time;0;0;0;0
67;AU;2014;lektor;part-time;0;0;0;0
68;AU;2014;odborný asistent;full-time;0;33;14;47
69;AU;2014;odborný asistent;part-time;0;15;3;18
70;AU;2014;profesor;full-time;1;9;23;33
71;AU;2014;profesor;part-time;1;2;1;4
72;AU;2015;asistent;full-time;0;0;1;1
73;AU;2015;asistent;part-time;0;0;5;5
74;AU;2015;docent;full-time;0;12;10;22
75;AU;2015;docent;part-time;0;3;2;5
76;AU;2015;hosťujúci profesor;full-time;0;0;0;0
77;AU;2015;hosťujúci profesor;part-time;0;0;0;0
78;AU;2015;lektor;full-time;0;0;0;0
79;AU;2015;lektor;part-time;0;0;0;0
80;AU;2015;odborný asistent;full-time;0;38;13;51
81;AU;2015;odborný asistent;part-time;0;16;1;17
82;AU;2015;profesor;full-time;1;9;22;32
83;AU;2015;profesor;part-time;0;1;1;2
84;AU;2016;asistent;full-time;0;0;1;1
85;AU;2016;asistent;part-time;0;0;2;2
86;AU;2016;docent;full-time;0;13;10;23
87;AU;2016;docent;part-time;0;1;2;3
88;AU;2016;hosťujúci profesor;full-time;0;0;0;0
89;AU;2016;hosťujúci profesor;part-time;0;0;0;0
90;AU;2016;lektor;full-time;0;0;0;0
91;AU;2016;lektor;part-time;0;0;0;0
92;AU;2016;odborný asistent;full-time;0;49;6;55
93;AU;2016;odborný asistent;part-time;0;13;0;13
94;AU;2016;profesor;full-time;1;9;21;31
95;AU;2016;profesor;part-time;0;1;1;2
96;AU;2017;asistent;full-time;0;0;1;1
97;AU;2017;asistent;part-time;0;0;1;1
98;AU;2017;docent;full-time;0;15;11;26
99;AU;2017;docent;part-time;0;1;2;3
100;AU;2017;hosťujúci profesor;full-time;0;0;0;0
101;AU;2017;hosťujúci profesor;part-time;0;0;0;0
102;AU;2017;lektor;full-time;0;0;0;0
103;AU;2017;lektor;part-time;0;0;0;0
104;AU;2017;odborný asistent;full-time;0;52;7;59
105;AU;2017;odborný asistent;part-time;0;9;0;9
106;AU;2017;profesor;full-time;1;9;19;29
107;AU;2017;profesor;part-time;0;2;1;3
108;AU;2018;asistent;full-time;0;0;2;2
109;AU;2018;asistent;part-time;0;0;2;2
110;AU;2018;docent;full-time;0;16;11;27
111;AU;2018;docent;part-time;0;0;1;1
112;AU;2018;hosťujúci profesor;full-time;0;0;0;0
113;AU;2018;hosťujúci profesor;part-time;0;0;0;0
114;AU;2018;lektor;full-time;0;0;0;0
115;AU;2018;lektor;part-time;0;0;0;0
116;AU;2018;odborný asistent;full-time;0;49;7;56
117;AU;2018;odborný asistent;part-time;0;8;0;8
118;AU;2018;profesor;full-time;1;9;18;28
119;AU;2018;profesor;part-time;0;2;1;3
120;AU;2019;asistent;full-time;0;0;4;4
121;AU;2019;asistent;part-time;0;0;2;2
122;AU;2019;docent;full-time;0;19;11;30
123;AU;2019;docent;part-time;0;0;1;1
124;AU;2019;hosťujúci profesor;full-time;0;0;0;0
125;AU;2019;hosťujúci profesor;part-time;0;0;0;0
126;AU;2019;lektor;full-time;0;0;0;0
127;AU;2019;lektor;part-time;0;0;0;0
128;AU;2019;odborný asistent;full-time;0;54;7;61
129;AU;2019;odborný asistent;part-time;0;8;0;8
130;AU;2019;profesor;full-time;1;8;18;27
131;AU;2019;profesor;part-time;0;2;1;3
132;AU;2020;asistent;full-time;0;0;3;3
133;AU;2020;asistent;part-time;0;0;4;4
134;AU;2020;docent;full-time;0;19;14;33
135;AU;2020;docent;part-time;0;0;1;1
136;AU;2020;hosťujúci profesor;full-time;0;0;0;0
137;AU;2020;hosťujúci profesor;part-time;0;0;0;0
138;AU;2020;lektor;full-time;0;0;0;0
139;AU;2020;lektor;part-time;0;0;0;0
140;AU;2020;odborný asistent;full-time;0;58;6;64
141;AU;2020;odborný asistent;part-time;0;5;2;7
142;AU;2020;profesor;full-time;0;9;15;24
143;AU;2020;profesor;part-time;0;2;0;2
144;AU;2021;asistent;full-time;0;0;2;2
145;AU;2021;asistent;part-time;0;0;5;5
146;AU;2021;docent;full-time;0;29;11;40
147;AU;2021;docent;part-time;0;0;0;0
148;AU;2021;hosťujúci profesor;full-time;0;0;0;0
149;AU;2021;hosťujúci profesor;part-time;0;0;0;0
