univerzita;rok;typ učiteľa;úväzok;DrSc.;CSc., PhD.;iný/žiadny titul;spolu
AU;2009;asistent;full-time;0;0;10;10
AU;2009;asistent;part-time;0;0;3;3
AU;2009;docent;full-time;0;4;9;13
AU;2009;docent;part-time;0;1;2;3
AU;2009;hosťujúci profesor;full-time;0;0;0;0
AU;2009;hosťujúci profesor;part-time;0;0;0;0
AU;2009;lektor;full-time;0;0;0;0
AU;2009;lektor;part-time;0;0;0;0
AU;2009;odborný asistent;full-time;0;13;23;36
AU;2009;odborný asistent;part-time;0;5;11;16
AU;2009;profesor;full-time;1;8;22;31
AU;2009;profesor;part-time;0;3;1;4
AU;2010;asistent;full-time;0;0;5;5
AU;2010;asistent;part-time;0;0;0;0
AU;2010;docent;full-time;0;5;11;16
AU;2010;docent;part-time;0;2;2;4
AU;2010;hosťujúci profesor;full-time;0;0;0;0
AU;2010;hosťujúci profesor;part-time;0;0;0;0
AU;2010;lektor;full-time;0;0;0;0
AU;2010;lektor;part-time;0;0;0;0
AU;2010;odborný asistent;full-time;0;19;22;41
AU;2010;odborný asistent;part-time;0;7;8;15
AU;2010;profesor;full-time;2;7;24;33
AU;2010;profesor;part-time;0;2;0;2
AU;2011;asistent;full-time;0;0;6;6
AU;2011;asistent;part-time;0;0;2;2
AU;2011;docent;full-time;0;6;11;17
AU;2011;docent;part-time;0;1;2;3
AU;2011;hosťujúci profesor;full-time;0;0;0;0
AU;2011;hosťujúci profesor;part-time;0;0;0;0
AU;2011;lektor;full-time;0;0;0;0
AU;2011;lektor;part-time;0;0;0;0
AU;2011;odborný asistent;full-time;0;24;25;49
AU;2011;odborný asistent;part-time;0;8;5;13
AU;2011;profesor;full-time;2;7;24;33
AU;2011;profesor;part-time;0;3;0;3
AU;2012;asistent;full-time;0;0;5;5
AU;2012;asistent;part-time;0;0;1;1
AU;2012;docent;full-time;0;8;12;20
AU;2012;docent;part-time;0;2;2;4
AU;2012;hosťujúci profesor;full-time;0;0;0;0
AU;2012;hosťujúci profesor;part-time;0;0;0;0
AU;2012;lektor;full-time;0;0;0;0
AU;2012;lektor;part-time;0;0;0;0
AU;2012;odborný asistent;full-time;0;29;19;48
AU;2012;odborný asistent;part-time;0;7;2;9
AU;2012;profesor;full-time;2;10;20;32
AU;2012;profesor;part-time;0;4;2;6
AU;2013;asistent;full-time;0;0;5;5
AU;2013;asistent;part-time;0;0;4;4
AU;2013;docent;full-time;0;12;10;22
AU;2013;docent;part-time;0;2;2;4
AU;2013;hosťujúci profesor;full-time;0;0;0;0
AU;2013;hosťujúci profesor;part-time;0;0;0;0
AU;2013;lektor;full-time;0;0;0;0
AU;2013;lektor;part-time;0;0;0;0
AU;2013;odborný asistent;full-time;0;31;15;46
AU;2013;odborný asistent;part-time;0;13;3;16
AU;2013;profesor;full-time;1;9;23;33
AU;2013;profesor;part-time;1;3;1;5
AU;2014;asistent;full-time;0;0;2;2
AU;2014;asistent;part-time;0;0;7;7
AU;2014;docent;full-time;0;14;11;25
AU;2014;docent;part-time;0;2;1;3
AU;2014;hosťujúci profesor;full-time;0;0;0;0
AU;2014;hosťujúci profesor;part-time;0;0;0;0
AU;2014;lektor;full-time;0;0;0;0
AU;2014;lektor;part-time;0;0;0;0
