rok,univerzita,dotacie,mzdy,dotacie-stud,studenti,studenti-denni,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd,pub-podiel-07711,pub-podiel-07712,inflation_rate,dotacie_ia
2009,UK,77024564.0,34788075,8631773,28439.0,21819.0,10969.0,9721.0,794240.0,,,1.0,77024560.0
2009,UPJŠ,21034251.0,9489758,2462852,8137.0,7035.0,1776.0,1775.0,128336.0,,,1.0,21034252.0
2009,PU,17921955.0,7287384,3728125,12399.0,7415.0,1913.0,2007.0,161600.0,,,1.0,17921956.0
2009,UCM,6960463.0,3211301,964838,7129.0,4742.0,224.0,222.0,14784.0,,,1.0,6960463.0
2009,UVL,9082561.0,4322490,601068,1454.0,1294.0,830.0,778.0,41584.0,,,1.0,9082561.0
2009,UKF,18362210.0,8352833,2585424,13213.0,8041.0,1599.0,1530.0,128800.0,,,1.0,18362210.0
2009,UMB,18785626.0,8415807,2854500,15235.0,8952.0,2443.0,2210.0,163840.0,,,1.0,18785626.0
2009,TVU,10187719.0,4648317,994407,7516.0,4761.0,,,,,,1.0,10187719.0
2009,STU,54494350.0,25671598,5691770,18654.0,16641.0,6557.0,6412.0,527072.0,,,1.0,54494350.0
2009,TUKE,38076381.0,16650799,6083678,17043.0,12693.0,4984.0,5739.0,383680.0,,,1.0,38076380.0
2009,ŽU,25033613.0,11110616,3831687,12797.0,9360.0,5007.0,4388.0,355120.0,,,1.0,25033612.0
2009,TUAD,8587563.0,3840504,919286,7842.0,4088.0,318.0,229.0,13408.0,,,1.0,8587563.0
2009,EU,19602168.0,8595550,3218519,14385.0,10880.0,3707.0,3487.0,262912.0,,,1.0,19602168.0
2009,SPU,19423615.0,8639319,2559027,10304.0,6965.0,3028.0,2726.0,202896.0,,,1.0,19423616.0
2009,TUZVO,10768636.0,4864323,1477447,4777.0,3223.0,1524.0,1479.0,88800.0,,,1.0,10768636.0
2009,VŠMU,5462927.0,2934061,193213,1052.0,986.0,,,,,,1.0,5462927.0
