univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd,publik‡cie
UK,76955994,35 154 510,7 485 815,7 041 236,4 745,1331,320,27 380,21 706,19 831,11 012,10 004,793 216,1959053808
UPJŠ,22020879,9 576 244,1 476 185,2 446 397,1361,265,75,8 368,7 269,5 280,1 776,1 781,127 648,6599868069
PU,17434872,7 019 168,1 026 611,3 218 935,1038,161,67,11 761,7 409,6 889,1 921,2 007,158 288,5345882571
UCM,7484225,3 418 191,386 111,845 305,388,61,0,6 992,5 334,3 734,224,224,14 336,1549820617
UVL,8791849,3 995 447,623 323,604 476,495,115,17,1 626,1 464,1 267,899,775,41 744,2292264551
UKF,19188933,8 712 336,1 324 148,2 129 907,1026,215,119,12 408,8 159,8 024,1 597,1 566,125 280,7007038193
UMB,19076191,8 551 067,1 125 959,2 798 281,1249,212,95,13 429,8 380,7 866,2 434,2 288,161 280,7424150602
TVU,10564304,4 657 750,974 474,938 332,527,189,63,8 224,5 191,3 432,,,,3158213576
STU,57204228,26 615 938,5 960 086,4 967 479,3 055,1038,154,18 211,16 882,15 371,8 556,6 592,523 520,1343837412
TUKE,39751109,16 873 715,3 133 985,6 613 796,1858,553,89,17 585,13 626,11 259,4 984,5 986,396 032,723562802
ŽU,27692163,12 421 058,2 130 713,3 783 680,1482,371,146,11 959,9 288,8 600,5 007,4 502,355 120,4257644393
TUAD,8393123,3 770 073,532 026,736 671,464,83,17,8 110,4 139,4 537,320,216,12 000,1764222353
EU,21532693,9 634 391,1 262 965,3 186 558,1333,245,126,13 614,10 704,9 413,3 480,3 455,250 496,5974879869
SPU,19597966,8 606 921,1 588 587,2 483 144,1221,260,94,9 883,6 953,7 094,3 028,2 713,198 416,4493867768
TUZVO,11237065,5 071 652,882 426,1 329 814,810,157,59,4 951,3 302,3 298,1 524,1 415,85 328,3059897493
VŠMU,5327725,2 901 224,402 144,129 938,325,65,41,1 062,1 009,1 992,,0,0,351744353
VŠVU,4209279,2 209 230,290 556,142 367,202,52,8,691,675,1 354,,0,0,374215377
AU,2993615,1 479 444,178 734,321 814,156,29,7,640,615,1 177,201,156,9 984,27844372
KU,12150310,5 535 813,746 859,1 227 186,678,124,38,7 698,4 922,6 231,699,590,35 152,503717109
UJS,2588024,988 929,62 277,607 528,157,13,0,2 528,1 480,1 122,513,477,38 160,766135192
