univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,publikacie,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd
UK,77188587,22358025,7729715,8006375,NA,1559,NA,27422,21919,22180,12369,,,
UJPŠ,22757216,6656435,1766983,2466042,NA,314,NA,8699,7408,5665,3605,,,
PU,18316144,5397622,1216551,3960319,NA,205,NA,10571,7048,7784,5049,,,
UCM,7613364,2881112,462610,945202,NA,77,NA,5947,4650,1846,2806,,,
UVL,9159398,2974668,587893,647983,NA,117,NA,1873,1689,2967,270,,,
UKF,19265704,6462251,1484369,2405707,NA,242,NA,12354,8268,8547,5559,,,
UMB,18590413,6109460,1265427,2751876,NA,252,NA,12349,7816,8433,5942,,,
TVU,10243014,3368177,996745,950338,NA,188,NA,7516,4574,3952,3046,,,
STU,56943985,17138021,6263282,4696983,NA,1190,NA,18189,17118,20786,9343,,,
TU,38957862,11880335,3100463,6536820,NA,554,NA,16319,12919,14791,7481,,,
ŽU,27056909,8217291,2329877,3796173,NA,392,NA,11715,9217,11895,5519,,,
TUAD,7677563,2740431,499722,779454,NA,85,NA,5743,3259,3566,2927,,,
EU,20861429,7068976,1490373,3088214,NA,257,NA,12759,10065,10827,7727,,,
SPU,19237006,6282008,1586472,2352864,NA,258,NA,9964,7079,8582,4726,,,
TU,11148942,3521695,867809,1407840,NA,153,NA,5235,3506,4683,2002,,,
VŠMU,5599140,2001169,387340,201493,NA,61,NA,1052,997,173,613,,,
VŠVU,4160394,1319084,277566,145736,NA,57,NA,687,660,275,386,,,
AU,3210870,1147907,191927,328497,NA,30,NA,629,590,154,362,,,
KU,11854293,3753909,935589,1685056,NA,166,NA,7353,3991,4746,4482,,,
UJS,2708416,916859,59503,591838,NA,9,NA,2403,1561,755,867,,,
