univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;pub-podiel-07711;pub-podiel-07712;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd
UK;102389909;33270007;NA;9783679;NA;985;NA;23545;16860;23,38343162;25,77644686;NA;10852;9683;728848
UPJŠ;34257245;11115051;NA;2146378;NA;342;NA;7382;4995;11,85769713;14,08244217;NA;1796;1705;131008
PU;22687476;8552406;NA;2997073;NA;128;NA;8689;6579;4,404671176;3,154602935;NA;1925;1963;157040
UCM;11786096;4975094;NA;830121;NA;99;NA;5738;3966;2,201883774;2,151540096;NA;237;197;6304
UVL;13302683;5845687;NA;674116;NA;79;NA;1895;1704;1,887706498;1,87817367;NA;825;637;40768
UKF;21631622;7718201;NA;2046025;NA;182;NA;7679;5598;4,139551413;3,544531873;NA;1643;1628;130240
UMB;20286573;7099148;NA;2188669;NA;127;NA;7097;5086;4,34180963;3,569555388;NA;2588;2264;92224
TVU;11431705;4289872;NA;724580;NA;54;NA;4672;3060;2,898146552;2,356919984;NA;316;296;9472
STU;59095995;18579883;NA;5899552;NA;490;NA;11879;9813;11,76807504;12,03561187;NA;6629;6378;508768
TUKE;41007370;13628376;NA;4561757;NA;306;NA;8804;7497;10,86746252;11,6296199;NA;4986;4270;341600
ŽU;34552339;10994390;NA;3726079;NA;265;NA;8307;7042;5,537708462;5,45166736;NA;5032;3845;259120
TUAD;8985706;2130946;NA;369063;NA;29;NA;2062;1374;1,099068403;1,002777213;NA;215;104;8320
EU;19476848;7151743;NA;2210960;NA;96;NA;7376;6110;3,211174661;2,184366906;NA;2811;2456;172560
SPU;22952869;8334499;NA;2239295;NA;121;NA;6820;5224;4,207260675;4,056721004;NA;2603;2409;179664
TUZVO;13131864;4312470;NA;1090372;NA;79;NA;2680;1912;4,985056123;4,756212812;NA;1434;998;79840
VŠMU;8261537;3366153;NA;114409;NA;38;NA;1038;866;0,100599857;0,030693184;NA;0;0;0
VŠVU;4917691;2075631;NA;77000;NA;27;NA;655;588;0,168585627;0,029081118;NA;0;0;0
AU;4355457;1939438;NA;149566;NA;30;NA;564;504;0,116859196;0,01845501;NA;136;108;6912
KU;9598736;3606449;NA;955393;NA;65;NA;3692;2440;1,756359769;1,331955221;NA;647;472;18752
UJS;3935646;1571035;NA;434211;NA;26;NA;1732;1234;1,066891889;0,958625428;NA;413;374;29920
