univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,publikacie,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd,rok,publik‡cie,publikacie 07711,publikacie 07712,pub-podiel-07711,pub-podiel-07712
UK,77024564.0,34788075,6419171.0,8631773,4631.0,1190,274.0,28439.0,21819.0,7690.0,7225.0,10969.0,9721.0,794240.0,2009,,,,,
UPJŠ,21034251.0,9489758,1032939.0,2462852,1307.0,222,53.0,8137.0,7035.0,2268.0,1460.0,1776.0,1775.0,128336.0,2009,,,,,
PU,17921955.0,7287384,652690.0,3728125,1073.0,115,40.0,12399.0,7415.0,1865.0,3719.0,1913.0,2007.0,161600.0,2009,,,,,
UCM,6960463.0,3211301,185010.0,964838,377.0,30,0.0,7129.0,4742.0,563.0,1655.0,224.0,222.0,14784.0,2009,,,,,
UVL,9082561.0,4322490,444936.0,601068,493.0,77,18.0,1454.0,1294.0,954.0,169.0,830.0,778.0,41584.0,2009,,,,,
UKF,18362210.0,8352833,863062.0,2585424,989.0,145,81.0,13213.0,8041.0,1936.0,4490.0,1599.0,1530.0,128800.0,2009,,,,,
UMB,18785626.0,8415807,987407.0,2854500,1187.0,152,62.0,15235.0,8952.0,1865.0,5095.0,2443.0,2210.0,163840.0,2009,,,,,
TVU,10187719.0,4648317,679149.0,994407,514.0,138,54.0,7516.0,4761.0,1225.0,2940.0,,,,2009,,,,,
STU,54494350.0,25671598,3774703.0,5691770,3009.0,705,137.0,18654.0,16641.0,5660.0,4236.0,6557.0,6412.0,527072.0,2009,,,,,
TUKE,38076381.0,16650799,2474216.0,6083678,1884.0,426,58.0,17043.0,12693.0,3349.0,3924.0,4984.0,5739.0,383680.0,2009,,,,,
ŽU,25033613.0,11110616,1614174.0,3831687,1437.0,266,85.0,12797.0,9360.0,2721.0,3340.0,5007.0,4388.0,355120.0,2009,,,,,
TUAD,8587563.0,3840504,330222.0,919286,433.0,58,10.0,7842.0,4088.0,904.0,1577.0,318.0,229.0,13408.0,2009,,,,,
EU,19602168.0,8595550,861775.0,3218519,1244.0,231,64.0,14385.0,10880.0,2873.0,4115.0,3707.0,3487.0,262912.0,2009,,,,,
SPU,19423615.0,8639319,1339640.0,2559027,1224.0,226,62.0,10304.0,6965.0,2389.0,3174.0,3028.0,2726.0,202896.0,2009,,,,,
TUZVO,10768636.0,4864323,601874.0,1477447,842.0,136,43.0,4777.0,3223.0,1321.0,1091.0,1524.0,1479.0,88800.0,2009,,,,,
